report_date,game,team,batter,opponent_pitcher,hr_prob_pct,tb2_prob_pct,fair_hr_american,fair_2tb_american,market_hr_american,edge_hr_pct,market_tb_line,market_tb_over_american,edge_tb_pct,recent_form_score,bvp_pa,tier,hr_tier,tb2_tier,recommended_prop,recommended_tier,hr_market_status,tb2_market_status,data_confidence,market_data_status,scoring_status
2026-04-19,SF@WSH,SF,Willy Adames,PJ Poulin,,,,,NA,,1.5,150,,0.685,2,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,SF@WSH,SF,Luis Arraez,PJ Poulin,,,,,NA,,1.5,150,,0.509,1,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,SF@WSH,SF,Matt Chapman,PJ Poulin,,,,,NA,,1.5,150,,0.555,1,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,SF@WSH,SF,Rafael Devers,PJ Poulin,,,,,NA,,1.5,200,,0.376,1,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,SF@WSH,SF,Casey Schmitt,PJ Poulin,,,,,NA,,1.5,250,,0.767,0,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,SF@WSH,SF,Jung Hoo Lee,PJ Poulin,,,,,NA,,1.5,150,,0.530,0,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,SF@WSH,SF,Heliot Ramos,PJ Poulin,,,,,NA,,1.5,150,,0.651,1,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,SF@WSH,SF,Drew Gilbert,PJ Poulin,,,,,NA,,1.5,250,,0.665,2,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,SF@WSH,SF,Patrick Bailey,PJ Poulin,,,,,NA,,1.5,150,,0.217,1,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,SF@WSH,WSH,James Wood,Robbie Ray,,,,,NA,,1.5,150,,0.950,6,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,SF@WSH,WSH,Curtis Mead,Robbie Ray,,,,,NA,,1.5,150,,0.467,0,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,SF@WSH,WSH,Brady House,Robbie Ray,,,,,NA,,1.5,150,,0.373,3,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,SF@WSH,WSH,CJ Abrams,Robbie Ray,,,,,NA,,1.5,100,,0.821,8,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,SF@WSH,WSH,Jacob Young,Robbie Ray,,,,,NA,,1.5,150,,0.489,3,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,SF@WSH,WSH,Joey Wiemer,Robbie Ray,,,,,NA,,1.5,150,,0.243,3,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,SF@WSH,WSH,Luis García Jr.,Robbie Ray,,,,,NA,,1.5,100,,0.301,3,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,SF@WSH,WSH,Nasim Nuñez,Robbie Ray,,,,,NA,,1.5,150,,0.249,5,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,SF@WSH,WSH,Keibert Ruiz,Robbie Ray,,,,,NA,,1.5,150,,0.270,0,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,TB@PIT,TB,Chandler Simpson,Mitch Keller,,,,,NA,,1.5,150,,0.398,3,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,TB@PIT,TB,Junior Caminero,Mitch Keller,,,,,NA,,1.5,150,,0.673,3,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,TB@PIT,TB,Jonathan Aranda,Mitch Keller,,,,,NA,,1.5,150,,0.446,2,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,TB@PIT,TB,Yandy Díaz,Mitch Keller,,,,,NA,,1.5,150,,0.543,9,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,TB@PIT,TB,Cedric Mullins,Mitch Keller,,,,,NA,,1.5,150,,0.468,9,,,,,,not_scored,not_scored,Display only,partial,not_scored
2026-04-19,TB@PIT,TB,Richie Palacios,Mitch Keller,,,,,NA,,1.5,250,,0.743,0,,,,,,not_scored,not_scored,Display only,partial,not_scored
