report_date,game,team,batter,opponent_pitcher,hr_prob_pct,tb2_prob_pct,fair_hr_american,fair_2tb_american,market_hr_american,edge_hr_pct,market_tb_line,market_tb_over_american,edge_tb_pct,recent_form_score,bvp_pa,tier,hr_tier,tb2_tier,recommended_prop,recommended_tier,hr_market_status,tb2_market_status,data_confidence,market_data_status,scoring_status
2026-04-20,DET@BOS,DET,Kevin McGonigle,Sonny Gray,,,,,NA,,,,,0.618,2,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-20,DET@BOS,DET,Gleyber Torres,Sonny Gray,,,,,NA,,,,,0.375,11,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-20,DET@BOS,DET,Colt Keith,Sonny Gray,,,,,NA,,,,,0.387,4,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-20,DET@BOS,DET,Riley Greene,Sonny Gray,,,,,NA,,,,,0.522,9,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-20,DET@BOS,DET,Dillon Dingler,Sonny Gray,,,,,NA,,,,,0.814,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-20,DET@BOS,DET,Kerry Carpenter,Sonny Gray,,,,,NA,,,,,0.711,9,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-20,DET@BOS,DET,Matt Vierling,Sonny Gray,,,,,NA,,,,,0.430,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-20,DET@BOS,DET,Hao-Yu  Lee,Sonny Gray,,,,,NA,,,,,0.180,1,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-20,DET@BOS,DET,Jake Rogers,Sonny Gray,,,,,NA,,,,,0.180,5,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-20,DET@BOS,BOS,Roman Anthony,Jack Flaherty,,,,,NA,,,,,0.389,3,,,,,,not_scored,not_scored,Display only,none,not_scored
2026-04-20,DET@BOS,BOS,Willson Contreras,Jack Flaherty,,,,,NA,,,,,0.865,30,,,,,,not_scored,not_scored,Display only,none,not_scored
